#{"t_start": 1784121635.9929411, "env_id": "FetchReachDense-v4"}
r,l,t
-3.812567,50,152.730957
-3.221474,50,152.866906
-3.717611,50,152.991529
-2.946745,50,153.138095
-3.546998,50,153.255064
-2.677186,50,153.379119
-3.416807,50,153.503451
-2.726837,50,153.648931
-3.503531,50,153.768283
-3.433392,50,153.912282
-4.091611,50,154.060418
-3.868417,50,154.195986
-3.007486,50,154.317984
-3.392588,50,154.447716
-3.856977,50,155.041512
-3.295379,50,155.305135
-2.846381,50,155.580493
-2.695955,50,155.740733
-3.088776,50,155.899764
-4.81087,50,156.028275
-2.986527,50,156.165271
-4.533377,50,156.30415
-2.973478,50,156.435951
-3.015725,50,156.562269
-3.359016,50,156.726331
-5.236012,50,156.963857
-4.065466,50,157.084065
-4.070759,50,157.215666
-4.615142,50,157.334844
-3.51115,50,157.458209
-2.775566,50,157.588531
-3.988413,50,157.71482
-5.098988,50,157.859503
-2.702714,50,157.9879
-4.321585,50,158.130611
-2.880333,50,158.730511
-3.456712,50,159.093187
-3.035932,50,159.29141
-3.727442,50,159.421412
-3.506885,50,159.561162
-3.735543,50,159.699499
-3.381887,50,159.860831
-2.633639,50,159.984176
-3.377609,50,160.128785
-4.023766,50,160.250325
-2.973751,50,160.396353
-3.019965,50,160.527611
-4.074017,50,160.672515
-3.528322,50,160.823877
-2.486173,50,161.025491
-3.638348,50,161.209997
-3.028772,50,161.35102
-3.249873,50,161.475265
-3.912181,50,161.63787
-2.954697,50,161.805806
-2.911286,50,162.49546
-3.051317,50,162.680004
-3.30414,50,162.845255
-3.979527,50,162.959946
-3.094455,50,163.098934
-5.192867,50,163.24509
-2.40527,50,163.37192
-3.792351,50,163.515407
-2.554546,50,163.652053
-3.521277,50,163.795307
-3.41971,50,163.934745
-3.38561,50,164.056789
-2.826343,50,164.188082
-3.744595,50,164.341243
-3.199543,50,164.482097
-2.370222,50,164.62129
-4.58561,50,164.746212
-3.431123,50,164.916449
-3.268,50,165.03493
-3.074032,50,165.16569
-2.867379,50,165.306418
-3.343038,50,165.807674
-3.513,50,165.973764
-3.195358,50,166.169125
-3.080077,50,166.313787
-2.467592,50,166.438898
-4.020458,50,166.570325
-3.631553,50,166.693973
-2.450038,50,166.855356
-3.362449,50,167.001787
-3.472372,50,167.127556
-3.661173,50,167.244149
-2.459193,50,167.395145
-3.227445,50,167.58252
-3.469492,50,167.760847
-3.134216,50,167.930152
-3.332922,50,168.176568
-4.065137,50,168.404957
-3.246679,50,168.684849
-2.365203,50,168.984438
-3.177415,50,169.260216
-3.272002,50,169.785365
-2.831659,50,170.046343
-3.514852,50,170.173808
-4.07943,50,170.444724
-3.32421,50,170.800318
-2.944098,50,171.143496
-3.353123,50,171.439588
-3.446555,50,171.679282
-3.026494,50,171.912969
-2.706404,50,172.088139
-2.758559,50,172.261698
-3.428626,50,172.430942
-2.871411,50,172.629697
-2.844974,50,172.880487
-2.778669,50,173.016046
-3.532912,50,173.161803
-3.23163,50,173.326509
-4.257906,50,173.462169
-2.490734,50,173.643106
-3.281205,50,173.840416
-3.044719,50,173.972497
-2.859714,50,174.634953
-2.656042,50,174.907934
-3.165553,50,175.206115
-3.682306,50,175.566357
-3.133531,50,175.997518
-3.059809,50,176.218408
-3.219591,50,176.374135
-2.163671,50,176.560601
-3.192984,50,176.752933
-3.270879,50,176.962398
-2.579194,50,177.233598
-2.180961,50,177.518043
-3.189206,50,177.706534
-3.475634,50,177.867451
-2.983232,50,178.048227
-2.839944,50,178.215904
-2.588396,50,178.373025
-4.143385,50,178.506038
-2.95198,50,178.641186
-2.771511,50,178.835499
-3.600969,50,179.63498
-2.606425,50,179.882658
-3.111522,50,180.052848
-3.256724,50,180.213308
-2.689019,50,180.364471
-2.919799,50,180.513084
-2.692664,50,180.645149
-3.014751,50,180.778175
-2.444728,50,181.038713
-2.901602,50,181.430236
-3.828939,50,181.556654
-2.680219,50,181.716462
-3.347615,50,181.859204
-2.573138,50,181.998812
-2.858746,50,182.166216
-2.72662,50,182.317063
-2.796558,50,182.451992
-2.818358,50,182.594737
-3.075275,50,182.738492
-3.410134,50,182.907282
-4.348102,50,183.026251
-2.25483,50,183.733352
-3.559487,50,184.051043
-2.92708,50,184.298241
-2.498453,50,184.476871
-3.373581,50,184.653413
-2.469956,50,184.826885
-2.507086,50,184.998374
-3.345053,50,185.134746
-2.973898,50,185.26431
-2.781913,50,185.410024
-2.949801,50,185.545987
-2.508791,50,185.876422
-3.528107,50,186.110667
-2.948371,50,186.403045
-2.985575,50,186.608356
-2.453101,50,186.779199
-2.917465,50,186.998006
-2.795051,50,187.137483
-2.799373,50,187.285966
-3.031192,50,187.410514
-3.055117,50,188.254044
-2.436303,50,188.595233
-3.605662,50,188.920432
-2.277261,50,189.242082
-2.766053,50,189.48871
-3.123001,50,189.654466
-3.615762,50,189.824322
-3.099877,50,190.006511
-2.679428,50,190.145053
-4.183141,50,190.294327
-3.440978,50,190.550409
-3.871885,50,190.819145
-2.758904,50,191.060791
-2.485127,50,191.206551
-2.79649,50,191.333648
-2.804128,50,191.482203
-2.671835,50,191.627834
-3.297767,50,191.797531
-2.883632,50,191.990546
-2.448756,50,192.251075
-3.719383,50,192.462217
-2.650483,50,193.401148
-3.078618,50,193.580917
-2.866808,50,193.725682
-2.926062,50,193.882397
-3.141378,50,194.041762
-3.139599,50,194.207287
-2.662104,50,194.400269
-3.112049,50,194.631889
-3.500522,50,194.759338
-2.547593,50,194.884226
-3.008633,50,194.996737
-2.836487,50,195.12718
-2.905245,50,195.253768
-2.748,50,195.38582
-3.821253,50,195.497786
-2.985824,50,195.628441
-2.887303,50,195.75111
-2.645444,50,195.881533
-3.861089,50,196.018034
-2.895728,50,196.1492
-2.737333,50,196.731334
-2.593796,50,196.913616
-2.927407,50,197.075974
-2.966808,50,197.269388
-2.426163,50,197.428199
-2.89864,50,197.601438
-2.622808,50,197.765849
-2.552986,50,197.96816
-3.014729,50,198.103962
-2.970645,50,198.265842
-3.049042,50,198.413375
-2.777799,50,198.542045
-2.63151,50,198.686747
-3.658696,50,198.863555
-3.560339,50,199.025285
-2.271627,50,199.179696
-2.670368,50,199.317913
-2.796965,50,199.464279
-2.536929,50,199.608334
-2.757223,50,199.743477
-3.050256,50,199.904994
-2.31336,50,200.63791
-3.081552,50,200.843616
-2.601527,50,200.996683
-2.777584,50,201.139722
-2.354555,50,201.284566
-2.986363,50,201.419077
-2.892002,50,201.542768
-3.022308,50,201.682256
-2.65833,50,201.995661
-2.449164,50,202.172961
-2.475956,50,202.299042
-2.735655,50,202.438595
-2.772533,50,202.59184
-2.830728,50,202.723855
-1.767439,50,202.869916
-2.47363,50,202.998127
-2.884918,50,203.151295
-2.801315,50,203.283435
-2.544818,50,203.410525
-2.60498,50,203.529172
-2.675113,50,204.079391
-2.726945,50,204.241105
-2.267901,50,204.396416
-2.624466,50,204.563169
-2.408281,50,204.689787
-2.746034,50,204.847142
-3.182967,50,204.985415
-2.892826,50,205.110361
-3.447223,50,205.242692
-2.732899,50,205.368442
-2.324344,50,205.488831
-2.131924,50,205.61892
-3.175673,50,205.749285
-2.849334,50,205.979387
-2.64195,50,206.137407
-3.183612,50,206.27578
-2.940669,50,206.398979
